num_lectures,price,days_since_published,content_duration
91,100,1795,4.0
35,20,2836,2.5
52,25,2987,10.5
18,20,2313,1.0
6,20,2229,1.0
150,180,2104,26.5
29,50,2720,14.5
16,195,2369,2.0
31,0,2255,6.5
9,20,2566,1.0
110,95,2428,2.5
88,50,2163,10.5
27,25,1691,2.5
194,150,2038,9.5
61,50,2360,2.5
34,85,2506,2.0
20,20,1851,0.6333333333333333
19,80,1760,2.0
38,35,1917,3.0
129,200,2265,11.0
50,30,1809,3.5
21,20,2522,3.0
16,40,1619,1.5
27,20,2062,1.0
64,20,3275,9.5
62,95,1667,2.5
48,20,2279,2.0
22,95,1754,1.0
15,145,1971,1.0
44,30,2237,7.0
14,40,1836,1.0
68,50,2100,16.5
15,20,1606,1.5
65,0,1865,5.5
18,95,1915,2.0
17,95,2244,1.5
196,40,1964,5.5
9,25,1744,0.5833333333333334
27,20,1557,2.5
9,20,1678,1.0
13,50,2489,2.5
16,95,1752,1.5
62,75,2340,4.5
28,20,2573,1.5
7,20,2410,1.5
35,100,2151,3.0
35,50,2066,2.5
15,200,1673,1.0
33,20,2711,6.0
12,195,1957,1.0
14,20,2138,3.5
16,20,2776,1.5
6,20,2326,1.0
30,100,1773,2.0
17,200,2140,1.0
16,55,2352,1.5
5,20,1548,0.5166666666666666
31,20,2468,2.0
24,20,3392,1.0
11,40,2237,0.5833333333333334
18,50,1717,2.0
7,20,1915,1.0
11,100,2120,0.5
26,50,2725,7.5
70,30,2276,7.0
14,50,1613,1.0
20,0,2003,4.0
20,0,1690,2.0
65,20,1912,2.5
10,30,2913,2.0
77,50,1786,17.5
9,30,2399,1.0
24,20,2160,1.5
35,40,1552,5.5
69,0,1620,20.5
79,40,1666,6.5
15,95,2879,1.0
90,85,2345,5.0
9,50,1898,0.5166666666666666
8,20,2097,0.65
28,40,1870,4.0
58,95,2194,7.0
14,20,2718,1.5
37,200,2503,5.5
14,35,2685,1.0
16,50,1675,2.0
23,75,2620,2.0
58,20,2322,6.0
9,50,1968,2.0
84,20,2265,5.5
23,75,2418,3.0
69,80,1639,4.5
34,95,1997,2.5
48,85,2506,3.5
26,20,2153,2.5
35,20,2409,3.0
41,20,2039,4.0
20,200,1711,3.0
194,150,2159,24.5
129,150,1781,13.5
62,150,1878,2.0
26,55,1943,4.0
12,20,2097,3.0
11,50,1644,1.0
8,20,1628,1.0
14,40,2238,1.5
145,200,1799,14.5
63,50,1797,1.5
24,195,2480,5.0
16,120,2469,1.5
34,20,2972,1.5
42,50,2761,4.5
9,20,2023,1.0
20,0,1890,0.6166666666666667
10,50,1859,1.0
9,35,2392,0.55
11,0,1578,1.5
100,0,1746,5.0
25,30,2114,1.5
88,40,2095,7.5
17,20,2250,2.0
159,195,1798,18.5
6,135,1551,1.0
14,30,1815,1.0
111,150,1929,21.0
34,20,2751,6.5
57,50,1772,6.5
46,45,2174,5.5
10,70,1633,1.5
14,0,2714,1.5
81,20,2334,4.5
20,30,1551,3.0
13,30,2378,1.5
8,20,2381,1.0
30,50,2002,6.0
113,95,1789,2.0
16,20,1608,1.0
31,100,1858,3.0
25,40,2150,4.0
22,0,3432,2.5
18,45,2060,1.0
10,30,2241,1.0
13,40,1711,1.0
5,20,2972,1.0
11,20,1684,1.0
87,60,2074,17.5
50,200,2144,5.5
28,85,1744,3.5
110,50,2403,9.0
24,50,1991,4.0
8,65,2159,1.0
18,90,1610,2.5
46,75,2245,4.5
13,20,2874,0.6333333333333333
26,100,2272,3.5
185,100,3573,12.0
27,25,2074,6.0
28,80,2550,2.5
9,75,1556,2.5
19,0,2258,2.0
55,105,1869,6.0
27,20,1622,1.5
11,20,2441,0.6833333333333333
39,40,1712,5.5
30,30,1871,4.0
362,200,2612,30.0
11,0,1983,0.55
64,75,2065,4.5
9,35,1778,1.5
174,45,1838,16.5
20,20,2817,2.0
8,20,3050,1.0
5,20,1933,0.6
57,20,2391,2.0
25,45,2324,1.0
76,20,1984,5.0
26,95,2533,5.0
